,wind_speed_mps,wave_height_m
t1045,21.45798333,3.38
t1046,21.1151,3.05
t1047,23.68453333,3.02
t1048,22.91161667,3.33
t1049,21.15983333,3.21
t1050,20.7659,3.32
t1051,20.44926667,2.9
t1052,21.03488333,2.9
t1053,20.46455,2.86
t1054,20.05808333,3.05
t1055,19.58546667,3.16
t1056,19.38933333,3.02
t1057,19.03148333,2.85
t1058,18.61531667,2.57
t1059,17.19141667,2.67
t1060,15.89218333,2.61
t1061,15.51643333,2.24
t1062,15.06803333,2.15
t1063,14.66215,2.22
t1064,12.71145,1.98
t1065,12.12348333,1.89
t1066,12.10265,1.82
t1067,11.51151667,1.89
t1068,10.7836,1.71
t1069,10.93855,1.63
t1070,9.625066667,1.5
t1071,9.580266667,1.49
t1072,9.046566667,1.35
t1073,8.5518,1.26
t1074,8.49915,1.19
t1075,8.6333,1.07
t1076,9.50535,0.97
t1077,9.792616667,1.03
t1078,9.148433333,1.06
t1079,9.5028,1.01
t1080,9.491483333,1.16
t1081,10.29638333,1.18
t1082,9.178666667,1.2
t1083,9.836416667,1.24
t1084,9.14725,1.2
t1085,10.2178,1.16
t1086,10.72121667,1.17
t1087,10.43331667,1.23
t1088,9.514066667,1.19
t1089,8.047,1.14
t1090,6.588816667,1
t1091,5.564916667,0.85
t1092,3.613433333,0.75
t1093,2.595366667,0.7
t1094,2.29355,0.59
t1095,2.118766667,0.62
t1096,1.522016667,0.6
t1097,2.2056,0.61
t1098,3.649683333,0.52
